country,sahoStatusEHA,dayNum,BXKLTDINVWDGDZS,BXTRFPWKRCDDT,CMMKTLCAPGDZS,DTODAODATGNZS,DTTDSDECTEXZS,EGEGYPRIMPPKD,EGELCACCSRUZS,ENATMPM25MCM3,FBCBKBRCHP5,ICREGDURS,ICTAXTOTLCPZS,IPJRNARTCSC,ISAIRPSGR,ITCELSETSP2,ITNETUSERZS,MSMILTOTLP1,MSMILXPNDGDZS,NEEXPGNFSZS,NEIMPGNFSZS,NVAGREMPLKD,NYGDPMKTPKDZG,NYGDPTOTLRTZS,NYGNPPCAPCD,SEPRMCMPTZS,SEXPDTOTLGDZS,SGGENPARLZS,SHDYNMORT,SHHIVINCDZS,SHSTASMSSZS,SIPOVDDAY,SIPOVGINI,SIPOVNAHC,SISPRPCAP,SLGDPPCAPEMKD,SLTLFCACTFMZS,SLTLFCACTZS,SMPOPREFG,SPPOPGROW,STINTRCPTXPZS,TGVALTOTLGDZS,TTPRIMRCHXDWD,WespEconType,WespFuelExp,WespHvyIndbt,WespIncomeCat,WespLandLckdDev,WespLstDev,WespRegion,WespSmlsDev,allhouse,armedConflict,casesMD,christCountry,christPct,ciaAirports,ciaArea,ciaBirthRate,ciaBroadbandFixedSubs,ciaBudgetSurplusDeficit,ciaCarbDioxEmsCons,ciaChildUnder5Underwt,ciaCrudeOilExports,ciaCrudeOilImports,ciaCrudeOilProduction,ciaCrudeOilProvedReserves,ciaCurrentAcctBalance,ciaDeathRate,ciaDebtExternal,ciaEducationExpenditures,ciaElectyConsump,ciaElectyExports,ciaElectyFossilFuels,ciaElectyHydroPlants,ciaElectyImports,ciaElectyInstallGenCap,ciaElectyNukeFuels,ciaElectyOthRenew,ciaElectyProduction,ciaExports,ciaFields,ciaGDPPerCapitaPPP,ciaGDPRealGrowthRate,ciaGrossNationalSaving,ciaHivAidsDeaths,ciaImports,ciaIndustProdGrowthRate,ciaInfantMortalityRate,ciaInflationRateConsPrices,ciaInternetUsers,ciaLaborForce,ciaLifeExpectancyAtBirth,ciaMaternalMortalityRate,ciaMedianAge,ciaMerchantMarine,ciaMilitaryExpends,ciaNatGasConsum,ciaNatGasExpts,ciaNatGasImpts,ciaNatGasProd,ciaNatGasProvResvs,ciaNetMigrationRate,ciaObesityAdultPrevRate,ciaPeopleWithHivAids,ciaPhonesFixed,ciaPhonesMobile,ciaPopGrowRate,ciaPopulation,ciaPublicDebt,ciaRailways,ciaRefPetrolProdExports,ciaRefPetrolProdsImports,ciaRefdPetrolProdsConsump,ciaRefinedPetrolProductsProd,ciaReservesForeignExchangeGold,ciaRoadways,ciaTaxesOtherRevenues,ciaTotalFertilityRate,ciaUnemploymentRate,ciaUnemploymentYouth1524,ciaWaterways,colLeg_n2,comDis,creditChegxin,creditDBRS,creditDagong,creditFitch,creditJCR,creditMoodys,creditSP,creditScope,cumCasesLag1,cumCasesLag1P100KC,cumDeathsLag1,cumDeathsLag1P100KC,deathsMD,ebolaCasesDum,ebolaCasesN,ecoeff,ecoleg,effect,eiec,elect2020,elect2020postponed,envMort,execnat,execrel,execrlc,exelec,firstCase,firstDeath,fraud,gdpPerCap,gdpPerCapLn,geoDiff,govEffInd,govHlthSpd,hapCorrupt,hapFreedom,hapGenerosity,hapLadder,hapSocSup,hlthRisks,hlthWork,idaEligible,ihr01,ihr02,ihr03,ihr04,ihr05,ihr06,ihr07,ihr08,ihr09,ihr10,ihr11,ihr12,ihr13,ihrTotal,inflation,kidMort,legelec,legit,liec,matMort,medDocsN,medDocsPC,military,muslimCountry,muslimPct,nNeighbors,netMigration,netOilProd,newCases,newDeaths,nonComDis,oppmajh,oppmajs,percent1,poleff,polity,polleg,popDen,population,prepStatus,prevAdopt,prtyin,regEff,regTypeFH_n,roadInj,seceff,secleg,sexHlth,sfi,soceff,socleg,state,subAbuse,svcCovInd,system,tempDiff66,tempDiffS,tempDiffSunfitted,tobCont,urbanPop,vacCov,yrcurnt,yrsoffc
Algeria,saho,53,0.807691666,1792000000,0.211748365,0.084205889,0.511901699,4.132702365,100,38.8840107,5.224239549,18,66.1,5231.44,6748653,109.356,59.5797,317000,6.009523489,22.79435881,29.23199679,19509.32524,0.8,19.02332624,4010,101.3646317,,25.75757576,23.3,0.09,17.68747717,,,,,45616.83833,21.64708289,41.15000153,98599,1.933950191,0.457791432,0.0000454483,216.3094282,Developing,1,0,UpMid,0,0,nAfrica,0,1,twenty,0.001914495,0,0.2,149,2381740,20,3067022,-9.6,135900000,3,756400,5340,1259000,12200000000,-22100000000,5.63,6260000000,,55960000000,641000000,96,1,257000000,19270000,0,2,66890000000,34370000000,,4114.7,1.4,37.8,,48540000000,0.6,14.65,1.9,24819531,10859000,77.55,112,28.9,114,6,41280000000,53880000000,0,93500000000,4504000000000,2.06,27.4,22000,4558502,46287629,1.17,42972878,27.5,3973,578800,82930,405000,627900,97890000000,104000,32.3,1.96,11.7,39.3,,2/France,61,N/A,N/A,BBB-,N/A,N/A,N/A,N/A,N/A,139,0.31698221,15,0.034206711,0.0002066,0,0,1,3,3,6,0,0,40.33,1,0,3,0,27,43,1,4055,8.3077059,66.666664,-0.4,65.95469117,0.735485137,0.466610909,-0.121105164,5.005099773,0.803385139,80,,0,100,90,80,80,60,80,80,53,93,60,60,100,100,80,4.27,20.43,1,8,7,112,72604,17.193,0,1,97.9,6,-50002,prod,62,2,14.2,0,-999,81.53,1,2,3,17.348,43851043,4,0.185185185,18,2/Muslim,0/notFree,,1,1,77.2,11,0,1,1,0.95,78,0,2809,2.645751311,3.464101615,18.8,73.2,0.007,2,18
Angola,saho,57,-4.614588242,3445473.468,,0.170491571,26.78743724,3.605959068,3.815070299,32.38850491,9.448013498,36,49.1,30.12,1436959,46.5986,14.3391,117000,1.644661129,40.55687107,28.293414,1216.210609,-0.624644318,26.76820695,2960,,,30,74.7,1.45,,51.8,51.3,32.3,,17318.3661,96.48093425,77.49299622,25793,3.242982603,1.345771733,0.0000550049,176.4906107,Developing,1,0,LowMid,0,1,sAfrica,0,1,twenty,0.0003125,1,90.5,102,1246700,42.7,109561,-6.7,20950000,19,1782000,0,1593000,9523000000,-1254000000,8.24,42080000000,3.4,9036000000,0,34,64,0,2613000,0,2,10200000000,33070000000,,3437.3,-1.2,28.6,13000,19500000000,2.5,60.58,17.2,4353033,12510000,61.71,241,15.9,54,1.6,821200000,3993000000,0,3115000000,308100000000,-0.2,8.2,340000,122566,14645106,3.38,32522339,65,2852,30340,111600,130000,53480,17290000000,26000,29.3,5.9,6.6,39.4,1300,3/neither,351,N/A,N/A,BB-,CCC,N/A,Caa1,CCC+,N/A,2,0.006085266,0,0,0,0,0,2,3,7,2,0,0,67.25,1,0,3,0,52,60,0,4272,8.3598375,0,-1.1,46.27865255,,,,,,63,,0,47,90,80,40,67,100,60,73,53,80,30,40,60,63,17.1,51.87,1,9,6,241,6400,2.146,0,0,0.2,4,32066,prod,1,0,16.5,0,-999,49.57,1,-2,1,23.89,32866268,3,0.314814815,42,1/Africa,0/notFree,23.6,2,2,24.2,16,2,3,1,6.94,40,0,3249,1.732050808,2.828427125,,66.2,1.47,0,38
Benin,open,99,1.599587602,205102147,,4.042757363,5.852233874,9.07481537,18.33402761,38.99995876,3.944042107,8.5,48.9,227.74,899,87.702,20,12250,0.652801729,29.63052719,34.05080512,2186.916007,6.865687335,2.369257116,1250,64.43959808,2.933969975,7.228915663,90.3,0.52,,49.6,47.8,38.5,2.71,8209.467614,94.2794857,70.86799622,1238,2.715105359,4.827523821,0.000051971,131.3596149,Developing,0,1,Low,0,1,wAfrica,0,-999,none,0.1123348,1,53,6,112622,42.1,27034,-6.2,5664000,16.8,0,0,0,8000000,-1024000000,3.75,2804000000,2.9,1143000000,0,88,9,1088000000,321000,0,2,335000000,3056000000,,906.5,6.5,17.3,2300,5458000000,3,10.79,-0.8,2403596,3662000,78.14,397,17,6,,0,0,0,0,1133000000,2.22,9.6,75000,37305,10905559,1.48,12864634,54.6,438,1514,38040,38000,0,698900000,16000,17.1,1.75,1,5.6,150,2/France,55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102,0.84136218,2,0.016497297,0.002202643,0,0,3,2,6,7,0,0,119.1,0,0,0,0,50,68,0,826,6.7165947,75,-0.6,29.9844712,0.740532577,0.735182583,-0.003537213,5.21600008,0.468671143,35,,1,33,60,20,40,60,50,60,27,27,40,0,20,20,35,-0.9,60.41,0,4,7,397,908,0.791,0,0,23.8,4,-10000,minCons,38,0,19.6,0,-999,24.73,1,7,0,99.11,12123198,2,0.740740741,-999,1/Africa,2/free,27.5,0,0,,10,2,2,2,2.81,40,0,1089,6.244997998,5.830951895,7.2,47.9,4.95,4,1
Botswana,open,47,1.422688625,50097077.95,,0.482873972,3.173296276,3.351028055,27.88261115,23.09438618,9.291821783,48,25.1,280.57,299351.994,173.811,47,9000,2.770202921,33.58767709,40.52308193,1696.715283,2.966125648,1.217888846,7650,,,10.76923077,41.6,8.23,,14.5,53.3,,7.97,46299.25037,85.01521206,70.81999969,1113,2.175290909,7.836655578,0.0000643222,83.91428997,Developing,0,0,UpMid,1,0,sAfrica,0,1,none,0,1,72.1,74,581730,20.9,40044,-1,6235000,,0,0,0,0,2146000000,9.2,2187000000,,3636000000,0,100,0,1673000000,735000,0,0,2527000000,5934000000,,8258.2,4.5,40.3,5000,5005000000,-4.2,26.8,2.7,1057079,1177000,64.8,144,25.7,,2.8,0,0,0,0,0,2.9,18.9,380000,139735,3968526,1.48,2317233,14,888,0,21090,21000,0,7491000000,31747,30.5,2.45,20,36,,1/Britain,253,N/A,N/A,A,N/A,N/A,A2,BBB+,N/A,0,0,0,0,0,0,0,1,0,1,6,0,0,52.99,0,0,1,0,62,63,0,7595,8.9352455,0,0.3,75.65959692,0.777930915,0.821328104,-0.250394493,3.478899956,0.779121757,30,,0,40,20,20,40,67,40,20,20,47,20,0,20,40,30,2.8,32.3,0,2,7,144,1138,5.269,0,0,0.4,4,14999,minCons,0,0,20.3,0,-999,-999,0,8,1,4.044,2351625,2,0.037037037,51,1/Africa,2/free,23.8,0,0,,3,0,1,1,6.59,61,2,2209,3.605551275,4.242640687,23.7,70.2,6.78,2,9
BurkFas,saho,51,1.300436385,476154362.9,,7.222532507,3.030131533,6.03244507,,42.93559251,3.077681481,13,41.3,251.99,203296.2421,100.212,16,11200,2.429948399,25.36905713,31.35620316,1886.155028,5.699434934,14.17054324,780,64.54945374,5.383790016,13.38582677,87.5,0.19,,,,41.4,,6323.509559,77.92478746,66.43000031,25869,2.844222553,4.609819685,0.0000539122,138.8304461,Developing,0,1,Low,1,0,wAfrica,0,1,none,0.020295203,0,22.5,23,274200,35.1,13818,-7.9,3421000,17.7,0,0,0,0,-1019000000,8.2,3056000000,5.4,1551000000,0,80,9,630000000,342400,0,12,990000000,3902000000,,820.2,6.8,9.3,3100,5294000000,10.4,52,-3.2,3158834,8501000,62.7,320,17.9,,2.4,0,0,0,0,0,-0.6,5.6,100000,75066,20330657,2.66,20835401,38.1,622,0,23580,23000,0,49000000,15304,21.2,4.51,77,8.7,,2/France,47,N/A,N/A,N/A,N/A,N/A,N/A,B,N/A,33,0.15786998,1,0.004783939,0.000615006,0,0,3,3,9,7,1,1,92.71,0,0,2,0,41,49,1,642,6.4645882,0,-0.6,43.301934,0.739795029,0.665563583,-0.019080516,4.768700123,0.712943614,44,,1,67,40,40,20,53,70,80,33,40,40,30,20,40,44,-3.2,55.3,0,7,7,320,1626,0.847,1,1,61.6,6,-125000,neither,7,0,21.7,0,0,53.5,3,6,0,70.151,20903278,2,0.111111111,2,1/Africa,1/partFree,30.5,0,1,45,16,3,3,,12.03,40,0,2601,3,3.741657387,16,30,5.76,2,2
Burundi,open,20,0.034689387,48328632,,14.78228853,9.710181706,7.722184375,3.435183756,38.89626795,3.222708042,5,41.2,21.12,,57.6156,2.66075,51050,1.765131006,9.131191569,32.72616867,183.8515385,1.842476677,11.21425337,280,59.37641907,5.078649998,36.36363636,56.5,0.2,,,,,,1764.444626,103.3603591,79.15399933,78465,3.128967114,1.367914796,0.000035421,147.3396173,Developing,0,1,Low,1,1,eAfrica,0,1,war,0,1,91.5,7,27830,36.5,3935,-5.7,217000,27.2,0,0,0,0,-418000000,12.96,610900000,5.1,382700000,0,14,73,100000000,68000,0,14,304000000,279000000,,294,0.1,-5.3,1800,1040000000,-2,3.31,-0.6,298684,5012000,74.01,548,17.7,,1.8,0,0,0,0,0,0.72,5.4,85000,20758,6644833,-0.29,11865821,51.7,,0,1374,1500,0,97400000,12322,15.8,1.51,,2.9,,3/neither,107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,4,2,12,7,1,1,100.2,1,0,0,0,62,76,0,290,5.6698809,0,-1.4,24.71392751,0.606934547,0.626350224,-0.017551597,3.775300026,0.490325719,48,,1,33,50,60,40,60,70,60,30,40,40,40,40,60,48,-0.7,41.17,0,9,7,548,1084,1.001,0,0,2.8,3,10003,neither,0,0,22.9,0,0,73.91,3,-1,3,423.062,11890781,2,0,-999,1/Africa,0/notFree,34.7,2,2,39.3,21,3,2,1,7.19,42,0,400,6.32455532,6.708203932,12.6,13.4,9.05,3,12
CAR,saho,99,1.153045645,,,27.47088199,,8.103724765,16.31860095,56.82849738,0.707526311,22,73.3,20.47,,32.2513,4.33925,10150,1.498322557,18.65532802,47.47980242,409.7475655,2.970275648,9.068494277,520,40.8741684,,8.571428571,110.1,2,,,,,,2431.006797,80.77617536,71.95500183,7170,1.674745212,,0.0000346799,78.02545759,Developing,0,1,Low,1,1,cAfrica,0,-999,war,0.29012346,1,89.5,39,622984,33.2,608,-0.9,413800,20.8,0,0,0,0,-163000000,12.3,779900000,1.2,159400000,0,50,50,0,38300,0,1,171400000,113700000,,480.7,4.3,5.4,3800,393100000,3.9,80.6,2.7,249336,2242000,54.2,829,20,,1.5,0,0,0,0,0,0,7.5,100000,2934,1892114,2.09,5990855,52.9,,0,2799,2800,0,304300000,24000,14.6,4.14,6.9,,2800,2/France,540,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,1.9462649,0,0,0,0,0,4,3,12,7,1,1,141.3,-999,-999,-999,-999,46,115,0,427,6.0567842,83.333336,-1.7,12.82263398,0.891806662,0.640880644,0.082410358,3.475899935,0.319459856,17,,1,0,20,20,0,40,40,0,20,20,0,20,20,20,17,3,83.44,-999,11,7,829,324,0.721,0,0,8.5,6,-200000,neither,0,0,23.1,-999,-999,19.05,3,6,2,7.479,4829764,1,0.740740741,-999,1/Africa,0/notFree,33.6,2,3,,23,3,3,0,2.38,33,0,1089,6.244997998,5.830951895,,41.8,8.52,4,1
Cameroon,open,110,2.003817312,333554496,,3.0672008,14.11332198,4.777529662,23.03357378,72.79309622,2.198234127,13.5,57.7,875.62,198881.213,81.7553,23.203,34400,1.096663762,20.21468715,24.65303408,1151.820425,3.720711422,6.20460584,1500,65.49803925,3.131200075,31.11111111,74.8,1.1,,,,35,,8597.492952,87.6794119,76.07299805,406259,2.584247107,8.669952379,0.0000258797,153.92527,Developing,1,1,LowMid,0,0,cAfrica,0,1,war,1.7871878,1,70.3,33,475440,36.3,17987,-3.4,7672000,11,96370,36480,69000,200000000,-932000000,7.93,9375000000,3.1,6411000000,0,52,47,55000000,1558000,0,1,8108000000,4732000000,,1534.5,4.1,25.5,14000,4812000000,3.3,50.09,2.4,6089200,9912000,62.79,529,18.5,61,,906100000,0,0,910400000,135100000000,-0.32,11.4,510000,966035,22062303,2.77,27744989,36.9,987,8545,14090,45000,39080,3235000000,77589,15.3,4.61,4.3,6.3,,3/neither,179,N/A,N/A,N/A,B,N/A,B2,B-,N/A,3292,12.401178,140,0.52738911,0.076004341,0,0,2,2,7,6,0,0,117.6,0,0,0,0,37,56,1,1451,7.2800083,100,-0.8,13.31757605,0.851336598,0.763051808,-0.00149645,5.084899902,0.700386405,42,,1,27,50,80,40,47,60,60,33,33,20,30,20,40,42,2.5,51.59,0,9,6,529,1842,0.881,0,0,18.3,6,-24000,neither,0,0,21.6,0,-999,77.99,2,-4,3,50.885,26545864,3,0.759259259,51,1/Africa,0/notFree,30.1,1,2,,16,2,2,0,5.65,46,0,484,7.071067812,6.708203932,9.3,57,2.9,1,35
CapeVerde,saho,62,5.313323618,235867714.2,,4.331378175,5.911873926,2.772725823,96.90005836,34.7787001,32.00260085,9,37.5,8.69,675482,108.318,58.1714,1200,0.486092073,50.86442619,65.35010239,4295.049756,5.66775246,0.379099981,3630,87.29020691,5.181749821,20,14.9,0.29,,3.4,42.4,,,18883.40939,78.95967678,60.45500183,,1.127924314,54.4115619,0.000043293,109.7835608,Developing,0,0,LowMid,0,0,wAfrica,1,0,none,0.012195121,1,89.1,9,4033,19.1,15657,-3,867800,,0,0,0,0,-109000000,5.84,1713000000,5.2,367400000,0,79,0,0,162500,0,21,395000000,189000000,,3635.4,5.1,32.4,,836100000,2.9,24.1,1.1,330623,196100,73.47,58,26.8,43,,0,0,0,0,0,-0.58,11.8,2500,60233,623749,1.24,583255,125.8,,0,5607,5600,0,617400000,1350,27.8,2.14,9,27.8,,3/neither,46,N/A,N/A,N/A,B-,N/A,N/A,B,N/A,5,0.89929998,1,0.17986,0.002439024,0,0,2,1,3,7,0,0,68.57,1,0,2,0,51,55,0,3244,8.0845623,0,0.3,60.2447331,,,,,,48,,1,60,40,40,80,67,60,40,40,53,40,40,40,20,48,1.1,13.56,0,2,7,58,410,7.814,0,0,0.1,0,-6709,minCons,1,0,17.2,0,-999,74.01,0,10,0,135.58,555988,2,0.5,6,1/Africa,2/free,25,0,0,,5,1,1,1,5.6,69,0,3844,1.414213562,1.732050808,,66.2,8.97,4,6
Chad,open,60,5.007877928,,,7.904276541,,2.78131878,2.745510595,66.0292055,1.000159899,58,63.5,15.45,,48.0648,6.5,32850,2.17578021,36.74225344,37.82827212,1536.503488,3.247181917,23.95442915,700,40.56021881,2.454819918,14.88095238,113.8,0.5,,,,42.3,,4282.449147,82.45838351,70.6989975,442670,2.985937461,,0.0000413877,159.3552277,Developing,1,1,Low,1,1,cAfrica,0,1,twenty,0.007680492,0,40.6,59,1284000,41.7,334,-1.5,342200,29.4,70440,0,132000,1500000000,-558000000,8.15,1724000000,2.5,208600000,0,98,0,0,48200,0,3,224300000,2464000000,,735.7,2.4,15.5,3200,2160000000,-4,62.63,-0.9,1029153,5654000,61.43,1140,16.1,,2.2,0,0,0,0,0,-0.78,6.1,120000,6540,7857758,3.16,16877357,52.5,,0,2285,2300,0,22900000,40000,13.5,5.7,,,,2/France,142,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,0.030439809,0,0,0,0,0,3,3,10,7,0,0,180.9,0,0,0,0,50,90,0,719,6.5778613,33.333332,-1.4,15.80557227,0.802760839,0.587305248,0.017834719,4.422699928,0.632388055,30,,1,27,30,40,20,33,70,40,27,27,20,20,20,20,30,-1,70.84,0,9,6,1140,651,0.434,1,1,55.3,6,10000,prod,0,0,23.9,0,0,59.92,3,-2,1,11.833,16425859,2,0.425925926,27,2/Muslim,0/notFree,27.6,1,2,17.5,19,3,3,0,1.37,28,0,3600,0,2.236067977,11.8,23.3,3.26,1,27
Comoros,open,27,0.6741569,135189373.3,,7.30501202,3.100086839,4.691372991,76.98634742,20.5468246,3.677836967,16,219.6,3.28,,67.6022,8.47817,,,12.80956693,29.26610026,2901.799122,1.986109517,1.390080811,1400,76.72007751,2.545059919,6.060606061,62.9,0.01,,,,,,12170.49852,73.24550127,43.28099823,,2.205877437,50.43511597,0.0000234166,80.65635555,Developing,0,1,Low,0,1,eAfrica,1,,none,0,0,0.5,4,2235,23.6,1531,-6.5,193600,16.9,0,0,0,0,-27000000,8.26,199800000,2.5,39060000,0,96,4,0,27000,0,0,42000000,161000000,,1400.5,3,17.3,,471000000,1,11.15,1,69635,278500,76.31,273,20.9,244,,0,0,0,0,0,-0.43,7.8,,9840,563722,0.26,846281,32.4,,0,1241,1300,0,208000000,880,25.3,1.6,6.5,19.5,,2/France,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,3,3,7,7,0,0,93.66,0,0,0,0,93,96,0,1329,7.1921821,0,-1.6,12.74803281,0.780622602,0.547612607,0.090008408,4.288599968,0.625662446,27,,1,27,20,60,60,27,40,20,33,0,40,10,20,0,27,-4.3,49.68,0,5,7,273,216,2.715,0,1,98.3,0,-10000,neither,0,0,22.9,0,-999,15.1,2,-3,0,437.352,869595,1,0,1,2/Muslim,1/partFree,26.5,0,0,,12,2,2,1,0.69,52,0,729,5.744562647,6.164414003,19.5,29.2,8.26,4,1
